מוסד,רשות,סוג פיקוח,מחוז,מגזר,מפקח,מנהל,כיתה,מקבילה,סוג חינוך כיתה,פוטנציאל תלמידים,קורסים שנפתחו,תלמידים רשומים לקורס,אחוז תלמידים רשומים לקורס,תלמידים שנכנסו לקורס,אחוז תלמידים שנכנסו לקורס,תלמידים שביצעו משימה אחת לפחות,אחוז תלמידים שביצעו משימה אחת לפחות
Totals,,,,,,,,,,"17,059",153,"10,444",61%,"8,252",48%,"8,012",47%
111328- כרמי יהודה,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,ז,4,רגיל,25,1,24,96%,24,96%,24,96%
111328- כרמי יהודה,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,ז,3,רגיל,23,1,22,96%,22,96%,21,91%
111328- כרמי יהודה,גוש עציון,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,ז,2,רגיל,23,1,21,91%,20,87%,20,87%
111393- נועם בנות ק.משה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,ז,2,רגיל,27,1,27,100%,27,100%,27,100%
111393- נועם בנות ק.משה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,ז,3,רגיל,27,1,26,96%,26,96%,26,96%
111393- נועם בנות ק.משה,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,ז,1,רגיל,26,1,23,88%,22,85%,22,85%
"111450- גוונים מ""מ",קרית ארבע,ממלכתי,ירושלים,יהודי,דורית מרגלית רזיאל אלישר,ענבל גונן,ז,1,רגיל,11,1,9,82%,9,82%,9,82%
112250- עשה חייל,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,ז,3,רגיל,24,1,4,17%,3,13%,3,13%
112250- עשה חייל,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,ז,1,רגיל,27,1,2,7%,1,4%,1,4%
112516- מבוא חורון,מטה בנימין,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,ערן מרגלית,ז,1,רגיל,22,1,1,5%,1,5%,1,5%
"112953- אהבת ישראל (חרד""ל)",ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,גיא רפאלוב,ז,1,רגיל,21,1,1,5%,0,0%,0,0%
113217- הר נוף ממד בנות,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,ברוריה בס,ז,2,רגיל,31,1,24,77%,15,48%,12,39%
113217- הר נוף ממד בנות,ירושלים,ממלכתי דתי,העיר ירושלים,יהודי,יואל דוב ורצברגר,ברוריה בס,ז,1,רגיל,29,1,17,59%,12,41%,12,41%
113324- בית-אל בנים,בית אל,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,ירון גיאת,ז,1,רגיל,29,1,25,86%,25,86%,25,86%
113324- בית-אל בנים,בית אל,ממלכתי דתי,ירושלים,יהודי,יוסף יעקב שינובר,ירון גיאת,ז,2,רגיל,29,1,24,83%,24,83%,24,83%
114058- אריאל,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,שולמית גיטל פרוינד,ז,1,רגיל,29,1,27,93%,26,90%,26,90%
114173- אורות עציון בנים,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,משה גוטליב,ז,31,רגיל,30,1,25,83%,10,33%,8,27%
114173- אורות עציון בנים,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,משה גוטליב,ז,34,רגיל,31,1,3,10%,2,6%,2,6%
114249- אורות עציון בנות,אפרת,ממלכתי דתי,ירושלים,יהודי,יעקב מאיר קושלבסקי,דבורה פרידמן,ז,21,רגיל,27,1,26,96%,24,89%,24,89%
